Detected language: vi (probability: 100.00%)


Segment 1:
[00:00:00,000 --> 00:00:07,900]
Text: Điều đó và nhiều hơn trong 2 phút. Để bắt đầu tài liệu.
Words:
   Điều: 00:00:00,000 --> 00:00:00,960
   đó: 00:00:00,960 --> 00:00:01,980
   và: 00:00:01,980 --> 00:00:05,780
   nhiều: 00:00:05,780 --> 00:00:06,040
   hơn: 00:00:06,040 --> 00:00:06,240
   trong: 00:00:06,240 --> 00:00:06,379
   2: 00:00:06,379 --> 00:00:06,639
   phút.: 00:00:06,639 --> 00:00:06,940
   Để: 00:00:07,240 --> 00:00:07,440
   bắt: 00:00:07,440 --> 00:00:07,540
   đầu: 00:00:07,540 --> 00:00:07,540
   tài: 00:00:07,540 --> 00:00:07,900
   liệu.: 00:00:07,900 --> 00:00:07,900
--------------------------------------------------------------------------------

Segment 2:
[00:00:11,259 --> 00:00:36,719]
Text: Python là một dạng dạng dạng tài liệu dân dân dân dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng dạng
Words:
   Python: 00:00:11,259 --> 00:00:12,640
   là: 00:00:12,640 --> 00:00:12,939
   một: 00:00:12,939 --> 00:00:12,939
   dạng: 00:00:12,939 --> 00:00:12,939
   dạng: 00:00:12,939 --> 00:00:12,939
   dạng: 00:00:12,939 --> 00:00:12,939
   tài: 00:00:12,939 --> 00:00:12,939
   liệu: 00:00:12,939 --> 00:00:12,939
   dân: 00:00:12,939 --> 00:00:14,220
   dân: 00:00:14,220 --> 00:00:14,220
   dân: 00:00:14,220 --> 00:00:14,300
   dạng: 00:00:14,300 --> 00:00:14,480
   dạng: 00:00:14,480 --> 00:00:15,560
   dạng: 00:00:15,560 --> 00:00:16,539
   dạng: 00:00:16,539 --> 00:00:17,600
   dạng: 00:00:17,600 --> 00:00:17,600
   dạng: 00:00:17,600 --> 00:00:17,600
   dạng: 00:00:17,600 --> 00:00:18,960
   dạng: 00:00:18,960 --> 00:00:21,199
   dạng: 00:00:21,199 --> 00:00:21,199
   dạng: 00:00:21,199 --> 00:00:21,199
   dạng: 00:00:21,199 --> 00:00:21,199
   dạng: 00:00:21,199 --> 00:00:21,199
   dạng: 00:00:21,199 --> 00:00:21,199
   dạng: 00:00:21,199 --> 00:00:21,199
   dạng: 00:00:21,199 --> 00:00:21,199
   dạng: 00:00:21,199 --> 00:00:21,199
   dạng: 00:00:21,199 --> 00:00:21,199
   dạng: 00:00:21,199 --> 00:00:21,199
   dạng: 00:00:21,199 --> 00:00:21,219
   dạng: 00:00:21,219 --> 00:00:21,219
   dạng: 00:00:21,219 --> 00:00:21,219
   dạng: 00:00:21,219 --> 00:00:21,219
   dạng: 00:00:21,219 --> 00:00:21,219
   dạng: 00:00:21,219 --> 00:00:21,219
   dạng: 00:00:21,219 --> 00:00:21,219
   dạng: 00:00:21,219 --> 00:00:21,219
   dạng: 00:00:21,219 --> 00:00:21,219
   dạng: 00:00:21,219 --> 00:00:21,219
   dạng: 00:00:21,219 --> 00:00:21,219
